x,y,u,v,p,T
-0.992115,-0.125333,-0.125333,0.992115,0.274636,0
-0.987688,-0.156434,-0.156434,0.987688,0.279941,0
-0.982287,-0.187381,-0.187381,0.982287,0.285132,0
-0.975917,-0.218143,-0.218143,0.975917,0.29009,0
-0.968583,-0.24869,-0.24869,0.968583,0.29509,0
-0.960294,-0.278991,-0.278991,0.960294,0.3001,0
-0.951057,-0.309017,-0.309017,0.951057,0.305069,0
-0.940881,-0.338738,-0.338738,0.940881,0.309621,0
-0.929776,-0.368125,-0.368125,0.929776,0.314326,0
-0.917755,-0.397148,-0.397148,0.917755,0.318079,0
-0.904827,-0.425779,-0.425779,0.904827,0.322858,0
-0.891007,-0.45399,-0.45399,0.891007,0.326889,0
-0.876307,-0.481754,-0.481754,0.876307,0.331027,0
-0.860742,-0.509041,-0.509041,0.860742,0.334498,0
-0.844328,-0.535827,-0.535827,0.844328,0.3385,0
-0.827081,-0.562083,-0.562083,0.827081,0.342004,0
-0.809017,-0.587785,-0.587785,0.809017,0.345455,0
-0.790155,-0.612907,-0.612907,0.790155,0.348855,0
-0.770513,-0.637424,-0.637424,0.770513,0.352193,0
-0.750111,-0.661312,-0.661312,0.750111,0.355127,0
-0.728969,-0.684547,-0.684547,0.728969,0.358848,0
-0.707107,-0.707107,-0.707107,0.707107,0.362073,0
-0.684547,-0.728969,-0.728969,0.684547,0.365184,0
-0.661312,-0.750111,-0.750111,0.661312,0.368271,0
-0.637424,-0.770513,-0.770513,0.637424,0.371615,0
-0.612907,-0.790155,-0.790155,0.612907,0.37524,0
-0.587785,-0.809017,-0.809017,0.587785,0.378341,0
-0.562083,-0.827081,-0.827081,0.562083,0.382487,0
-0.535827,-0.844328,-0.844328,0.535827,0.38591,0
-0.509041,-0.860742,-0.860742,0.509041,0.389439,0
-0.481754,-0.876307,-0.876307,0.481754,0.392809,0
-0.45399,-0.891007,-0.891007,0.45399,0.397581,0
-0.425779,-0.904827,-0.904827,0.425779,0.400487,0
-0.397148,-0.917755,-0.917755,0.397148,0.404601,0
-0.368125,-0.929776,-0.929776,0.368125,0.409246,0
-0.338738,-0.940881,-0.940881,0.338738,0.414438,0
-0.309017,-0.951057,-0.951057,0.309017,0.418913,0
-0.278991,-0.960294,-0.960294,0.278991,0.424241,0
-0.24869,-0.968583,-0.968583,0.24869,0.430004,0
-0.218143,-0.975917,-0.975917,0.218143,0.435678,0
-0.187381,-0.982287,-0.982287,0.187381,0.440912,0
-0.156434,-0.987688,-0.987688,0.156434,0.447129,0
-0.125333,-0.992115,-0.992115,0.125333,0.453644,0
-0.0941083,-0.995562,-0.995562,0.0941083,0.460486,0
-0.0627905,-0.998027,-0.998027,0.0627905,0.467796,0
-0.0314108,-0.999507,-0.999507,0.0314108,0.475332,0
2.48084e-15,-1,-1,-2.48084e-15,0.483879,0
0.0314108,-0.999507,-0.999507,-0.0314108,0.492093,0
0.0627905,-0.998027,-0.998027,-0.0627905,0.500179,0
0.0941083,-0.995562,-0.995562,-0.0941083,0.509077,0
0.125333,-0.992115,-0.992115,-0.125333,0.518627,0
0.156434,-0.987688,-0.987688,-0.156434,0.528382,0
0.187381,-0.982287,-0.982287,-0.187381,0.538784,0
0.218143,-0.975917,-0.975917,-0.218143,0.549758,0
0.24869,-0.968583,-0.968583,-0.24869,0.561625,0
0.278991,-0.960294,-0.960294,-0.278991,0.572363,0
0.309017,-0.951057,-0.951057,-0.309017,0.584731,0
0.338738,-0.940881,-0.940881,-0.338738,0.596975,0
0.368125,-0.929776,-0.929776,-0.368125,0.610211,0
0.397148,-0.917755,-0.917755,-0.397148,0.625647,0
0.425779,-0.904827,-0.904827,-0.425779,0.640138,0
0.45399,-0.891007,-0.891007,-0.45399,0.65595,0
0.481754,-0.876307,-0.876307,-0.481754,0.671337,0
0.509041,-0.860742,-0.860742,-0.509041,0.687,0
0.535827,-0.844328,-0.844328,-0.535827,0.703078,0
0.562083,-0.827081,-0.827081,-0.562083,0.721133,0
0.587785,-0.809017,-0.809017,-0.587785,0.740974,0
0.612907,-0.790155,-0.790155,-0.612907,0.758834,0
0.637424,-0.770513,-0.770513,-0.637424,0.778378,0
0.661312,-0.750111,-0.750111,-0.661312,0.797981,0
0.684547,-0.728969,-0.728969,-0.684547,0.820026,0
0.707107,-0.707107,-0.707107,-0.707107,0.840841,0
0.728969,-0.684547,-0.684547,-0.728969,0.864239,0
0.750111,-0.661312,-0.661312,-0.750111,0.887214,0
0.770513,-0.637424,-0.637424,-0.770513,0.912108,0
